year,state,state_abv,total_ballots_counted,vap,noncitizen_pct,ineligible_prison,ineligible_probation,ineligible_parole,ineligible_felons_total,eligible_overseas,vep,vep_turnout_rate,vap_turnout_rate,election_type
2018,Montana,MT,509213,834674,0.013500000000000002,3754,0,0,3754,NA,819652,0.6213000000000001,0.6101,midterm
2018,Nebraska,NE,706652,1452363,0.047400000000000005,5266,8490,958,14714,NA,1368807,0.5163,0.48660000000000003,midterm
2018,Nevada,NV,975980,2355238,0.10339999999999999,12420,7558.2,6492,26470,NA,2085237,0.46799999999999997,0.4144,midterm
2018,New Hampshire,NH,580568,1098605,0.026000000000000002,2635,0,0,2635,NA,1067406,0.5439,0.5285,midterm
2018,New Jersey,NJ,3248642,6937759,0.1122,18099,74867.79,14967,107934,NA,6051408,0.5367999999999999,0.4683,midterm
2018,New Mexico,NM,701654,1614275,0.0597,6887,6891,2805,16583,NA,1501320,0.46740000000000004,0.4347,midterm
2018,New York,NY,6230959,15448193,0.1032,42472,0,45192,87664,NA,13766275,0.45260000000000006,0.4033,midterm
2018,North Carolina,NC,3755778,8115658,0.0537,33700,45638.759999999995,14215,93554,NA,7586293,0.4951,0.4628,midterm
2018,North Dakota,ND,330598,580647,0.026600000000000002,1679,0,0,1679,NA,563523,0.5867,0.5694,midterm
2018,Ohio,OH,4496834,9092226,0.0254,49932,0,0,49932,NA,8811352,0.5103,0.4946,midterm
2018,Oklahoma,OK,1190000,2992026,0.041199999999999994,27572,23690,1780,53042,NA,2815712,0.42260000000000003,0.39770000000000005,midterm
2018,Oregon,OR,1914923,3325599,0.0553,13795,0,0,13795,NA,3127898,0.6122000000000001,0.5758,midterm
2018,Pennsylvania,PA,5043029,10155993,0.0361,44162,0,0,44162,NA,9745199,0.5175,0.49660000000000004,midterm
2018,Rhode Island,RI,381267,853159,0.0675,2767,0,0,2767,NA,792803,0.48090000000000005,0.4469000000000001,midterm
